dialogue_id,text,floor,emotion,engagement,correctness,source
en_de_#CLIENT-01#_default_2020-12-20-4,Visitor uploaded: #ALPHANUMERIC_ID#,inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,URL: #URL#,inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Type: Image/jpeg,inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Size: #NUMBER#,inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Visitor uploaded: #ALPHANUMERIC_ID#,inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,URL: #URL#,inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Type: Image/jpeg,inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Size: #NUMBER#,inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Complaint!,inbound,6,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Delivery today 21.12.#NUMBER# by #PRS_ORG# #PHONENUMBER#).,inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"On the right side of the couch, the backrest is pressed in.",inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Guten Abend #NAME#,outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"Vielen Dank für Ihre Kontaktaufnahme mit #PRS_ORG#, Sie sind bei #NAME# durch.",outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"Damit ich Ihnen weiterhelfen kann, geben Sie bitte Ihre Kontodaten an (vollständiger Name, E-Mail-Adresse, Postanschrift und Bestellnummer).",outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Chat-Nachricht,outbound,2,1.0,,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"#ADDRESS#, #EMAIL#",inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,#PRS_ORG# seater sofa retro yellow,inbound,2,1.0,,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Ich werde das nur für Sie untersuchen.,outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Darf ich bitte nach Ihrer Bestellnummer fragen?,outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Will I receive an email tomorrow?,inbound,4,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,A discount would be ok for me?,inbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Es beginnt normalerweise mit 160.,outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"160, - Euro?",inbound,4,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Ich werde von Ihrer Adresse nach der Bestellnummer suchen.,outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Yes please!,inbound,7,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"Unfortunately, I did not find another number.",inbound,5,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"Es tut mir leid, Sie warten zu lassen. Ich überprüfe das nur für Sie.",outbound,0,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"Es tut mir leid, Sie behalten zu haben.",outbound,0,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"Es tut mir leid, Sie behalten zu haben.",outbound,0,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"Es tut mir leid für die Probleme mit Ihrem Sofa. Ich kann Ihnen einen Gutschein für 60.00 € oder eine Rückerstattung von 30.00 € anbieten, um es so zu belassen, wie es ist.",outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"Can we agree, refunds Von 30 and the shipping costs 34,48 Euro Von that would be fair, Thank you!",inbound,3,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Ich kann die Rückerstattung auf €60.00 erhöhen.,outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Yes okay!,inbound,1,1.0,,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Will it then return to my #PRS_ORG# account?,inbound,1,1.0,,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Es geht auf Ihr Zahlungskonto zurück.,outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Es tut mir leid für die Probleme.,outbound,0,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,Kann ich Ihnen heute noch etwas helfen?,outbound,2,1.0,2.0,maia_dqe
en_de_#CLIENT-01#_default_2020-12-20-4,"Thank you very much, we helped them very quickly!",inbound,1,1.0,2.0,maia_dqe
